Incident ID,Location Name,Incident Type,Verification,lat,lon,Date↕,Visual Evidence,Sources
00000-73966,al-Shuja'iyya,Attack on hospitals and vicinity,confirmed,31.48389,34.47365,21 Mar 2024,@ytirawi↗,
40322-17128,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,22 Mar 2024,Unknown,@MOHMediaGaza↗
40322-94162,Shifa Medical Complex,Hospital evacuation order,confirmed,,,22 Mar 2024,Unknown,@hamza20300↗
40322-28339,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,22 Mar 2024,Unknown,@hamza20300↗
40322-87988,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,22 Mar 2024,Unknown,
40322-06159,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,22 Mar 2024,Unknown,@hamza20300↗
40322-38726,Shuhada Al-Aqsa vicinity,Attack on hospitals and vicinity,confirmed,,,22 Mar 2024,@qudsn↗,@AJA_Palestine↗
40323-83966,Kuwait Roundabout,Attack on civilians seeking aid,confirmed,31.47977,34.44226,23 Mar 2024,@i↗,
40324-40612,Kuwait Roundabout,Attack on civilians seeking aid,confirmed,31.47977,34.44226,24 Mar 2024,Unknown,@AJABreaking↗
40324-89669,Al-Amal,Attack on aid personnel,confirmed,31.34444,34.30306,24 Mar 2024,Unknown,aidworkersecurity.org↗
40324-29724,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,24 Mar 2024,Unknown,@hamza20300↗
40324-61555,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,24 Mar 2024,Unknown,@hamza20300↗
40324-12106,Nasser Hospital vicinity,Attack on hospitals and vicinity,confirmed,,,24 Mar 2024,Unknown,aa.com.tr↗
40324-15944,Al-Amal vicinity,Attack on hospitals and vicinity,confirmed,,,24 Mar 2024,facebook.com↗,
40324-17011,Al-Amal,Documented Israeli military presence,confirmed,,,24 Mar 2024,Unknown,facebook.com↗
40324-53816,Al-Amal,Hospital evacuation order,confirmed,,,24 Mar 2024,Unknown,facebook.com↗ facebook.com↗
40325-70991,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,25 Mar 2024,Unknown,@hamza20300↗
40325-08607,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,25 Mar 2024,Unknown,@hamza20300↗
40325-00666,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,25 Mar 2024,Unknown,@hamza20300↗
40325-03188,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,25 Mar 2024,Unknown,@hamza20300↗
40326-61798,Kuwait Roundabout,Attack on civilians seeking aid,most likely,31.47977,34.44226,26 Mar 2024,@i↗,@i↗
40326-81722,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,26 Mar 2024,Unknown,@hamza20300↗
40326-96466,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,26 Mar 2024,Unknown,@hamza20300↗
40327-73041,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,26 Mar 2024,instagram.com↗,
40327-34054,,Attack on aid personnel,confirmed,31.50169,34.46684,27 Mar 2024,Unknown,@AJABreaking↗
40327-59380,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,27 Mar 2024,@ajarabic↗,
40327-92243,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,27 Mar 2024,Unknown,@hamza20300↗
40327-61044,Nasser Hospital vicinity,Attack on hospitals and vicinity,most likely,31.34689,34.29235,27 Mar 2024,@i↗,@AlarabyTelevision↗
40328-13790,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,28 Mar 2024,@IDF↗,aa.com.tr↗
40329-14922,Al-Shujaiya Sports Club,"Attack on aid personnel, Attack on civilians seeking aid",confirmed,31.50055,34.46697,29 Mar 2024,Unknown,aa.com.tr↗ middleeastmonitor.com↗
40329-03257,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,29 Mar 2024,Unknown,@hamza20300↗
40330-27504,,"Attack on aid personnel, Attack on evacuation route, Attack on civilians seeking aid",confirmed,31.47977,34.44226,30 Mar 2024,Unknown,aljazeera.net↗
40330-61605,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,30 Mar 2024,@idfonline↗,@NemoAnno↗
40330-06798,Shifa Medical Complex,Prevention of hospital evacuation,confirmed,,,30 Mar 2024,Unknown,@MOHMediaGaza↗
40330-23149,Nasser Hospital vicinity,Attack on hospitals and vicinity,most likely,31.34689,34.29235,30 Mar 2024,Unknown,@QudsN↗
40331-30023,Shuhada Al-Aqsa,Attack on hospitals and vicinity,confirmed,,,31 Mar 2024,@QudsNen↗,almayadeen.net↗ arabic.rt.com↗
40401-39679,,"Attack on aid personnel, Attack on evacuation route",confirmed,31.41157,34.32292,01 Apr 2024,Unknown,wck.org↗
40401-53225,,"Attack on aid personnel, Attack on 'humanitarian zone'",confirmed,31.41889,34.35167,01 Apr 2024,Unknown,aidworkersecurity.org↗
40402-13415,Al-Bashir Mosque,"Airstrike, Attack on destination area",confirmed,31.4106,34.34563,02 Apr 2024,@AlarabyTV↗,
40403-89314,Al-Najjar,Documented Israeli military presence,confirmed,,,03 Apr 2024,Unknown,@hamza20300↗
40224-39086,Al-Saqqa Mosque,Airstrike,confirmed,31.34831,34.30275,04 Apr 2024,@ytirawi↗,@ytirawi↗
00000-73965,East of al-Shuja'iyya,Attack on civilians seeking aid,confirmed,31.48618,34.4854,05 Apr 2024,youtube.com↗,@inarobles13↗
40409-94284,,Attack on aid personnel,most likely,31.42177,34.38567,09 Apr 2024,Unknown,@munigaza↗
40409-19956,,"Attack on aid personnel, Attack on evacuation route",confirmed,31.50169,34.46684,09 Apr 2024,Unknown,@AJABreaking↗
40409-66791,Wadi Gaza checkpoint,"Attack on aid, Attack on aid personnel",confirmed,31.46955,34.4315,09 Apr 2024,Unknown,abc.net.au↗
40410-11914,Turkish Friendship,Israeli military base in hospital,confirmed,,,10 Apr 2024,@manniefabian↗,@TwistyCB↗
40411-25044,Firas Market,Attack on aid,confirmed,31.50712,34.45817,11 Apr 2024,Unknown,@AjaNews↗aljazeera.com↗
40411-27952,,Attack on aid personnel,confirmed,31.52932,34.47974,11 Apr 2024,Unknown,timesofisrael.com↗ drive.google.com↗
40411-65315,,Attack on aid personnel,most likely,31.52932,34.47974,11 Apr 2024,@mothersagainstgenocide↗,
40411-18861,"Nusierat Prep. Boys ""C""",Attack on displaced civilians,confirmed,31.46083,34.3923,11 Apr 2024,@MiddleEastEye↗,safa.ps↗
40411-20760,,Attack on aid personnel,confirmed,31.34444,34.30306,11 Apr 2024,Unknown,aidworkersecurity.org↗
